Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;26365;"Demography";journal;"00703370, 15337790";"Duke University Press";No;No;1,772;Q1;164;110;270;4398;1078;269;3,50;39,98;45,91;6;United States;Northern America;"Duke University Press";"1964-2025";"Demography (Q1)";"Social Sciences"
2;27364;"Population and Development Review";journal;"17284457, 00987921";"Wiley-Blackwell Publishing Ltd";No;No;1,616;Q1;128;58;170;4765;778;136;3,31;82,16;51,97;8;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2026";"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3;27392;"Population Studies";journal;"00324728, 14774747";"United Nations Publications";No;No;1,478;Q1;78;45;90;3360;313;80;2,80;74,67;41,51;4;United States;Northern America;"United Nations Publications";"1947-2026";"Demography (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
4;26878;"Journal of Population Economics";journal;"14321475, 09331433";"Springer New York";No;No;1,477;Q1;96;87;220;5450;831;220;3,49;62,64;44,13;8;Germany;Western Europe;"Springer New York";"1988-2026";"Demography (Q1); Economics and Econometrics (Q1)";"Economics, Econometrics and Finance; Social Sciences"
5;27343;"Journal of Ethnic and Migration Studies";journal;"14699451, 1369183X";"Routledge";No;No;1,456;Q1;133;349;777;21183;3791;743;4,16;60,70;61,78;0;United Kingdom;Western Europe;"Routledge";"1971-2026";"Arts and Humanities (miscellaneous) (Q1); Demography (Q1)";"Arts and Humanities; Social Sciences"
6;26857;"International Migration Review";journal;"17477379, 01979183";"SAGE Publications Ltd";No;No;1,412;Q1;126;171;208;11602;963;207;4,46;67,85;51,95;13;United States;Northern America;"SAGE Publications Ltd";"1971-1974, 1977-2026";"Arts and Humanities (miscellaneous) (Q1); Demography (Q1)";"Arts and Humanities; Social Sciences"
7;13500;"Developmental Psychology";journal;"19390599, 00121649";"American Psychological Association";No;No;1,367;Q1;265;182;595;11978;2154;594;2,82;65,81;66,42;2;United States;Northern America;"American Psychological Association";"1969-2026";"Demography (Q1); Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1)";"Psychology; Social Sciences"
8;1000147124;"European Union Politics";journal;"17412757, 14651165";"SAGE Publications Ltd";No;No;1,359;Q1;83;37;115;2253;411;111;3,16;60,89;45,71;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2026";"Demography (Q1); Health (social science) (Q1); Political Science and International Relations (Q1)";"Social Sciences"
9;16047;"Race Ethnicity and Education";journal;"1470109X, 13613324";"Routledge";No;No;1,334;Q1;81;97;178;6167;784;176;3,77;63,58;68,95;3;United Kingdom;Western Europe;"Routledge";"1998-2026";"Cultural Studies (Q1); Demography (Q1); Education (Q1)";"Social Sciences"
10;29536;"European Journal of Population";journal;"15729885, 01686577";"Springer Netherlands";No;No;1,209;Q1;69;34;114;2526;453;113;3,42;74,29;55,91;1;Netherlands;Western Europe;"Springer Netherlands";"1985-2026";"Demography (Q1)";"Social Sciences"
11;21100899442;"Comparative Migration Studies";journal;"2214594X";"SpringerOpen";Yes;No;1,158;Q1;45;92;136;5441;616;129;3,48;59,14;54,17;7;Switzerland;Western Europe;"SpringerOpen";"2013-2026";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
12;26890;"Health Reports";journal;"12091367, 08406529";"Statistics Canada";Yes;No;1,105;Q1;76;24;81;645;267;81;3,27;26,88;59,26;17;Canada;Northern America;"Statistics Canada";"1989-2026";"Demography (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
13;21100463829;"Chinese Journal of Population Resources and Environment";journal;"23254262, 20969589";"KeAi Communications Co.";Yes;Yes;1,097;Q1;29;51;119;2342;621;119;5,03;45,92;34,87;0;China;Asiatic Region;"KeAi Communications Co.";"1992, 2004-2013, 2015-2025";"Demography (Q1); Environmental Science (miscellaneous) (Q1); Toxicology (Q1)";"Environmental Science; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
14;14424;"European Societies";journal;"14616696, 14698307";"Routledge";Yes;No;1,071;Q1;64;29;122;2030;474;119;4,00;70,00;44,44;0;United Kingdom;Western Europe;"Routledge";"2001, 2005-2025";"Demography (Q1); Geography, Planning and Development (Q1)";"Social Sciences"
15;21101160648;"Journal on Migration and Human Security";journal;"23302488, 23315024";"SAGE Publications Inc.";No;No;1,043;Q1;34;30;57;1600;169;57;3,07;53,33;65,57;1;United States;Northern America;"SAGE Publications Inc.";"2013-2026";"Demography (Q1); Geography, Planning and Development (Q1)";"Social Sciences"
16;21100854471;"Migration Studies";journal;"20495838, 20495846";"Oxford University Press";No;No;1,007;Q1;30;63;126;5004;439;125;3,08;79,43;58,27;3;United Kingdom;Western Europe;"Oxford University Press";"2016-2026";"Demography (Q1); Geography, Planning and Development (Q1)";"Social Sciences"
17;21101077293;"Journal of Migration and Health";journal;"26666235";"Elsevier B.V.";Yes;No;0,994;Q1;27;94;201;4648;702;201;3,27;49,45;61,68;0;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Demography (Q1); Health (social science) (Q1); Infectious Diseases (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
18;26824;"Genus";journal;"00166987, 20355556";"Springer International Publishing AG";Yes;No;0,987;Q1;28;37;87;2426;256;85;2,98;65,57;64,21;2;Switzerland;Western Europe;"Springer International Publishing AG";"1970, 1975-1998, 2007-2026";"Demography (Q1)";"Social Sciences"
19;27896;"Studies in Family Planning";journal;"17284465, 00393665";"Wiley-Blackwell Publishing Ltd";No;No;0,983;Q1;82;47;84;2486;273;75;3,52;52,89;73,14;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2026";"Demography (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
20;26361;"Demographic Research";journal;"23637064, 14359871";"Max Planck Institute for Demographic Research";Yes;Yes;0,934;Q1;90;76;242;4650;616;242;2,41;61,18;54,27;0;Germany;Western Europe;"Max Planck Institute for Demographic Research";"1999-2000, 2002-2026";"Demography (Q1)";"Social Sciences"
21;26216;"European Journal of Migration and Law";journal;"1388364X, 15718166";"Martinus Nijhoff Publishers";No;No;0,928;Q1;44;20;66;2112;181;63;1,98;105,60;60,71;0;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1999-2025";"Demography (Q1); Law (Q1)";"Social Sciences"
22;27391;"Population, Space and Place";journal;"15448444, 15448452";"John Wiley and Sons Ltd";No;No;0,924;Q1;101;188;336;11705;1213;333;3,50;62,26;51,05;6;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2004-2026";"Demography (Q1); Geography, Planning and Development (Q1)";"Social Sciences"
23;5900153310;"Mobilities";journal;"17450101, 1745011X";"Routledge";No;No;0,902;Q1;79;121;182;8266;719;178;3,89;68,31;56,22;1;United Kingdom;Western Europe;"Routledge";"2006-2026";"Demography (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
24;27387;"Population Research and Policy Review";journal;"15737829, 01675923";"Springer Netherlands";No;No;0,902;Q1;68;59;273;3420;703;273;2,27;57,97;49,03;3;Netherlands;Western Europe;"Springer Netherlands";"1982-2026";"Demography (Q1); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
25;21100197766;"Chinese Sociological Review";journal;"21620555, 21620563";"M.E. Sharpe Inc.";No;No;0,874;Q1;38;31;62;2023;178;62;1,34;65,26;40,30;0;United States;Northern America;"M.E. Sharpe Inc.";"2011-2026";"Anthropology (Q1); Demography (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
26;21101109778;"Whiteness and Education";journal;"23793414, 23793406";"Informa UK Limited";No;No;0,850;Q1;18;39;54;2947;140;54;2,26;75,56;58,57;0;United Kingdom;Western Europe;"Informa UK Limited";"2016-2026";"Cultural Studies (Q1); Demography (Q1); Education (Q1)";"Social Sciences"
27;12828;"Population and Environment";journal;"15737810, 01990039";"Springer Science and Business Media B.V.";No;No;0,829;Q1;72;41;81;2786;273;81;2,78;67,95;46,76;2;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1980-1985, 1987-2026";"Demography (Q1); Environmental Science (miscellaneous) (Q2)";"Environmental Science; Social Sciences"
28;21100887441;"Folia Geographica";journal;"24541001, 13366157";"University of Presov";Yes;Yes;0,822;Q1;14;8;28;514;109;28;4,29;64,25;27,27;0;Slovakia;Eastern Europe;"University of Presov";"2018-2025";"Cultural Studies (Q1); Demography (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
29;26855;"International Migration";journal;"14682435, 00207985";"Wiley-Blackwell Publishing Ltd";No;No;0,812;Q1;90;188;365;10595;1002;300;2,59;56,36;54,69;15;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1961-2026";"Demography (Q1)";"Social Sciences"
30;10100153322;"Journal of Immigrant and Refugee Studies";journal;"15562956, 15562948";"Routledge";No;No;0,802;Q1;43;114;180;7112;493;179;2,41;62,39;67,98;8;United States;Northern America;"Routledge";"2006-2026";"Demography (Q1); Geography, Planning and Development (Q1); Health (social science) (Q1)";"Social Sciences"
31;23638;"Gender, Place and Culture";journal;"0966369X, 13600524";"Routledge";No;No;0,760;Q1;90;112;259;6746;698;253;2,43;60,23;79,51;0;United Kingdom;Western Europe;"Routledge";"1994-2026";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Demography (Q1); Gender Studies (Q1)";"Arts and Humanities; Social Sciences"
32;5600155054;"Journal of International Migration and Integration";journal;"14883473, 18746365";"Springer Science and Business Media B.V.";No;No;0,754;Q1;43;155;342;10693;919;341;2,48;68,99;59,37;3;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2004, 2007-2026";"Anthropology (Q1); Cultural Studies (Q1); Demography (Q1)";"Social Sciences"
33;29193;"Journal of Aging and Social Policy";journal;"15450821, 08959420";"Routledge";No;No;0,695;Q1;51;109;193;4857;518;179;2,49;44,56;60,06;6;United States;Northern America;"Routledge";"1989-2026";"Demography (Q1); Gerontology (Q2); Life-span and Life-course Studies (Q2)";"Nursing; Social Sciences"
34;4700151704;"Asian Population Studies";journal;"17441730, 17441749";"Routledge";No;No;0,665;Q1;32;29;60;1565;125;52;1,79;53,97;35,29;1;United Kingdom;Western Europe;"Routledge";"2006-2026";"Demography (Q1)";"Social Sciences"
35;21101188706;"Frontiers in Human Dynamics";journal;"26732726";"Frontiers Media SA";Yes;No;0,621;Q2;18;102;189;6211;575;168;3,36;60,89;45,05;1;Switzerland;Western Europe;"Frontiers Media SA";"2019-2026";"Demography (Q2); Management, Monitoring, Policy and Law (Q2); Sociology and Political Science (Q2); Human-Computer Interaction (Q3)";"Computer Science; Environmental Science; Social Sciences"
36;25818;"International Journal of Refugee Law";journal;"14643715, 09538186";"Oxford University Press";No;No;0,586;Q2;47;20;73;2332;142;68;1,42;116,60;44,44;3;United Kingdom;Western Europe;"Oxford University Press";"1989-2025";"Law (Q1); Demography (Q2); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
