Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21101021641;"International Journal of Transgender Health";journal;"26895269, 26895277";"Routledge";No;No;2,285;Q1;66;280;152;13979;2616;141;12,62;49,93;55,72;6;United Kingdom;Western Europe;"Routledge";"2020-2026";"Gender Studies (Q1); Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
2;5700166179;"Politics and Gender";journal;"1743923X, 17439248";"Cambridge University Press";No;No;1,847;Q1;65;82;166;5232;717;146;3,23;63,80;66,18;0;United Kingdom;Western Europe;"Cambridge University Press";"2005-2026";"Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3;14925;"Gender and Society";journal;"08912432, 15523977";"SAGE Publications Inc.";No;No;1,839;Q1;140;30;95;1935;506;90;4,62;64,50;75,56;2;United States;Northern America;"SAGE Publications Inc.";"1987-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
4;21100283775;"Biology of Sex Differences";journal;"20426410";"BioMed Central Ltd";Yes;No;1,808;Q1;76;108;265;8292;1467;259;5,01;76,78;57,72;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2010-2026";"Endocrinology (Q1); Gender Studies (Q1)";"Biochemistry, Genetics and Molecular Biology; Social Sciences"
5;19295;"Gender, Work and Organization";journal;"14680432, 09686673";"Wiley-Blackwell Publishing Ltd";No;No;1,769;Q1;108;155;382;11305;2044;364;5,28;72,94;76,22;9;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1994-2026";"Gender Studies (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Social Sciences"
6;21100830172;"Psychology of Sexual Orientation and Gender Diversity";journal;"23290382, 23290390";"American Psychological Association";No;No;1,255;Q1;61;100;236;6555;1107;236;3,37;65,55;56,85;0;United States;Northern America;"American Psychological Association";"2014-2025";"Gender Studies (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
7;14035;"Psychology of Women Quarterly";journal;"14716402, 03616843";"SAGE Publications Ltd";No;No;1,238;Q1;127;30;96;2230;434;93;4,21;74,33;79,78;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1976-2026";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Gender Studies (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology; Social Sciences"
8;14798;"Sex Roles";journal;"03600025, 15732762";"Springer New York";No;No;1,225;Q1;159;83;283;6272;1220;283;3,84;75,57;70,59;2;United States;Northern America;"Springer New York";"1975-2026";"Developmental and Educational Psychology (Q1); Gender Studies (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
9;30084;"Journal of Sex Research";journal;"00224499, 15598519";"Taylor and Francis Ltd.";No;No;1,098;Q1;145;215;328;15188;1384;314;4,03;70,64;62,92;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1965-2026";"Gender Studies (Q1); History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
10;5700166815;"Sexuality Research and Social Policy";journal;"15536610, 18689884";"Springer New York";No;No;1,082;Q1;61;296;393;19698;1634;392;4,03;66,55;56,55;10;United States;Northern America;"Springer New York";"2005-2006, 2008-2026";"Gender Studies (Q1); Health (social science) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
