Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;15555;"American Journal of Political Science";journal;"00925853, 15405907";"Wiley-Blackwell Publishing Ltd";No;No;6,539;Q1;229;166;223;12119;2156;223;9,82;73,01;26,47;31;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982, 1986, 1996-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
2;15557;"American Political Science Review";journal;"15375943, 00030554";"Cambridge University Press";No;No;5,433;Q1;228;170;350;12671;2925;341;7,42;74,54;35,69;0;United Kingdom;Western Europe;"Cambridge University Press";"1906-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3;145558;"Political Analysis";journal;"10471987, 14764989";"Cambridge University Press";No;No;4,368;Q1;96;57;121;2371;1162;121;9,72;41,60;27,40;4;United Kingdom;Western Europe;"Cambridge University Press";"1989-1993, 2000, 2002-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
4;25835;"International Security";journal;"15314804, 01622889";"MIT Press";No;No;4,166;Q1;136;21;55;2118;402;44;6,03;100,86;22,22;4;United States;Northern America;"MIT Press";"1984, 1996-2025";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
5;16232;"British Journal of Political Science";journal;"00071234, 14692112";"Cambridge University Press";Yes;No;3,576;Q1;128;179;288;12164;1867;288;5,74;67,96;31,67;0;United Kingdom;Western Europe;"Cambridge University Press";"1971-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
6;25725;"World Politics";journal;"00438871, 10863338";"Johns Hopkins University Press";No;No;3,565;Q1;139;0;20;0;120;20;5,25;0,00;0,00;0;United States;Northern America;"Johns Hopkins University Press";"1948-2023";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
7;39139;"International Organization";journal;"15315088, 00208183";"Cambridge University Press";No;No;3,041;Q1;180;44;88;3605;520;87;4,27;81,93;33,75;0;United Kingdom;Western Europe;"Cambridge University Press";"1947-2026";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
8;4000148701;"Perspectives on Politics";journal;"15375927, 15410986";"Cambridge University Press";No;No;2,923;Q1;112;201;305;16927;1343;201;4,22;84,21;35,92;0;United States;Northern America;"Cambridge University Press";"2003-2026";"Political Science and International Relations (Q1)";"Social Sciences"
9;25691;"West European Politics";journal;"01402382, 17439655";"Routledge";No;No;2,643;Q1;113;104;195;7040;1317;194;6,84;67,69;33,82;16;United Kingdom;Western Europe;"Routledge";"1978-2026";"Political Science and International Relations (Q1)";"Social Sciences"
10;21100870919;"Political Science Research and Methods";journal;"20498470, 20498489";"Cambridge University Press";Yes;No;2,574;Q1;40;161;196;8047;887;196;4,25;49,98;27,92;8;United Kingdom;Western Europe;"Cambridge University Press";"2014, 2018-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
11;26261;"Review of International Political Economy";journal;"09692290, 14664526";"Routledge";No;No;2,508;Q1;100;99;266;8569;1910;261;6,35;86,56;40,76;10;United Kingdom;Western Europe;"Routledge";"1994-2026";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
12;26362;"Journal of Peace Research";journal;"00223433, 14603578";"SAGE Publications Ltd";No;No;2,298;Q1;136;159;200;10175;1036;199;5,22;63,99;37,32;19;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2025";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)";"Social Sciences"
13;5600154213;"Contemporary Security Policy";journal;"17438764, 13523260";"Routledge";No;No;2,222;Q1;47;46;84;4334;573;81;6,07;94,22;30,26;7;United Kingdom;Western Europe;"Routledge";"1994-2026";"Political Science and International Relations (Q1)";"Social Sciences"
14;19878;"Journal of European Public Policy";journal;"14664429, 13501763";"Routledge";No;No;2,219;Q1;146;222;400;15633;2863;373;7,28;70,42;34,99;32;United Kingdom;Western Europe;"Routledge";"1994-2026";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
15;4700152638;"Review of International Organizations";journal;"1559744X, 15597431";"Springer";No;No;2,208;Q1;61;70;92;6377;583;82;5,31;91,10;45,74;8;United States;Northern America;"Springer";"2006-2026";"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
16;22738;"Philosophy and Public Affairs";journal;"10884963, 00483915";"Wiley-Blackwell Publishing Ltd";No;No;2,204;Q1;91;20;46;1265;171;43;2,55;63,25;0,00;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-1982, 1984-1986, 1988-2001, 2003-2026";"History and Philosophy of Science (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
17;25772;"International Affairs";journal;"14682346, 00205850";"Wiley-Blackwell";No;No;2,097;Q1;113;104;314;9818;1822;307;5,75;94,40;45,10;8;United Kingdom;Western Europe;"Wiley-Blackwell";"1979-1986, 1988-1989, 1996-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
18;16114;"Electoral Studies";journal;"02613794";"Elsevier B.V.";No;No;2,080;Q1;98;80;310;4853;1280;308;3,09;60,66;31,96;3;United Kingdom;Western Europe;"Elsevier B.V.";"1982-2026";"Political Science and International Relations (Q1)";"Social Sciences"
19;22861;"Political Psychology";journal;"0162895X, 14679221";"Wiley-Blackwell Publishing Ltd";No;No;1,938;Q1;136;166;194;11474;1209;194;5,06;69,12;42,62;6;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2026";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
20;27663;"Journal of Conflict Resolution";journal;"15528766, 00220027";"SAGE Publications Inc.";No;No;1,893;Q1;138;87;217;6122;807;217;3,26;70,37;27,32;9;United States;Northern America;"SAGE Publications Inc.";"1957-2026";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
21;24034;"Democratization";journal;"13510347, 1743890X";"Taylor and Francis Ltd.";No;No;1,848;Q1;83;146;233;11015;1161;230;4,64;75,45;34,83;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2026";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
22;29032;"New Political Economy";journal;"14699923, 13563467";"Routledge";No;No;1,809;Q1;85;81;188;5802;1136;188;4,96;71,63;31,65;6;United Kingdom;Western Europe;"Routledge";"1996-2026";"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
